#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
  0: 7.20416900320953e-02  1.0000e+00  6.38983822365161e-01  1.0000e+00  0.00200000
  1: 7.12278550431671e-02  9.8870e-01  6.34658880974257e-01  9.9323e-01  1.00000000
  2: 2.41596029103882e-03  3.3536e-02  1.78362687553088e-01  2.7913e-01  1.00000000
  3: 9.86250864449533e-05  1.3690e-03  3.46930459117120e-02  5.4294e-02  1.00000000
  4: 3.90665417570061e-06  5.4228e-05  5.82921655539627e-03  9.1226e-03  1.00000000
  5: 5.88954274014452e-07  8.1752e-06  1.91157437358234e-03  2.9916e-03  1.00000000
  6: 1.02269044526815e-07  1.4196e-06  8.01111448335421e-04  1.2537e-03  1.00000000
  7: 4.91282701132670e-09  6.8194e-08  2.39412418922636e-04  3.7468e-04  1.00000000
  8: 1.28039998700126e-09  1.7773e-08  1.41626041042058e-04  2.2164e-04  1.00000000
  9: 6.57243814084692e-11  9.1231e-10  2.23786691899016e-05  3.5022e-05  1.00000000
 10: 2.74755487509712e-11  3.8138e-10  1.90783895964335e-05  2.9857e-05  1.00000000
 11: 1.32320295942435e-11  1.8367e-10  1.21226395841129e-05  1.8972e-05  1.00000000
 12: 3.93133244473948e-12  5.4570e-11  1.19311007773874e-05  1.8672e-05  1.00000000
 13: 1.09863867772433e-12  1.5250e-11  2.93233356961840e-07  4.5891e-07  1.00000000
