#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
  0: 6.71958589545595e-01  1.0000e+00  2.15485927293834e+01  1.0000e+00  0.00200000
  1: 5.79411320828506e-01  8.6227e-01  2.26684509568976e+01  1.0520e+00  1.00000000
  2: 3.80353824840489e-01  5.6604e-01  4.26013997669096e+00  1.9770e-01  1.00000000
  3: 3.65971959008335e-01  5.4463e-01  3.39343491675072e+00  1.5748e-01  1.00000000
  4: 3.26913887661569e-01  4.8651e-01  4.15263655149734e+00  1.9271e-01  1.00000000
  5: 3.05806186745342e-01  4.5510e-01  3.27270945588436e+00  1.5188e-01  1.00000000
  6: 2.86956560009551e-01  4.2705e-01  1.36718515022145e+00  6.3447e-02  1.00000000
  7: 2.75166690690179e-01  4.0950e-01  1.69413032554536e+00  7.8619e-02  1.00000000
  8: 2.67792595536227e-01  3.9853e-01  2.08758578508068e+00  9.6878e-02  1.00000000
  9: 2.55912475267948e-01  3.8085e-01  1.51578747434589e+00  7.0343e-02  1.00000000
 10: 2.40415087598956e-01  3.5778e-01  1.00841290931184e+00  4.6797e-02  1.00000000
 11: 2.23650553011356e-01  3.3283e-01  1.48005879258550e+00  6.8685e-02  1.00000000
 12: 2.08765695344740e-01  3.1068e-01  1.71033312478550e+00  7.9371e-02  1.00000000
 13: 1.83213002799476e-01  2.7266e-01  1.49045513322562e+00  6.9167e-02  1.00000000
 14: 1.33008466722653e-01  1.9794e-01  1.74213675506896e+00  8.0847e-02  1.00000000
 15: 8.97179150926971e-02  1.3352e-01  3.08522512704185e+00  1.4318e-01  1.00000000
 16: 6.85598446186216e-02  1.0203e-01  2.71935157866554e+00  1.2620e-01  1.00000000
 17: 4.59065857267206e-02  6.8318e-02  8.96536350791764e-01  4.1605e-02  1.00000000
 18: 3.49337373409201e-02  5.1988e-02  7.44849215296751e-01  3.4566e-02  1.00000000
 19: 2.76512338363509e-02  4.1150e-02  1.11663015208381e+00  5.1819e-02  1.00000000
 20: 1.93357417844000e-02  2.8775e-02  1.06077850033528e+00  4.9227e-02  1.00000000
 21: 8.23002934466906e-03  1.2248e-02  3.79947359919955e-01  1.7632e-02  1.00000000
 22: 4.19404408429841e-03  6.2415e-03  2.65883785371460e-01  1.2339e-02  1.00000000
 23: 2.90847713721265e-03  4.3284e-03  3.28770247346831e-01  1.5257e-02  1.00000000
 24: 1.35925120167827e-03  2.0228e-03  1.87461724803555e-01  8.6995e-03  1.00000000
 25: 6.67833331064998e-04  9.9386e-04  9.49356655835753e-02  4.4057e-03  1.00000000
 26: 2.81894380319161e-04  4.1951e-04  8.32111998827688e-02  3.8616e-03  1.00000000
 27: 1.76432937484658e-04  2.6257e-04  6.42683117169698e-02  2.9825e-03  1.00000000
 28: 7.70903953408472e-05  1.1472e-04  3.49732429778402e-02  1.6230e-03  1.00000000
 29: 3.76506808343748e-05  5.6031e-05  2.09627781395368e-02  9.7281e-04  1.00000000
 30: 3.28274405084688e-05  4.8853e-05  1.13270957156855e-02  5.2565e-04  1.00000000
 31: 2.91394917371304e-05  4.3365e-05  8.65910575004619e-03  4.0184e-04  1.00000000
 32: 2.35046421868413e-05  3.4979e-05  1.12054185541335e-02  5.2001e-04  1.00000000
 33: 1.87723332522996e-05  2.7937e-05  1.13760081769112e-02  5.2792e-04  1.00000000
 34: 1.33792842650403e-05  1.9911e-05  8.76043441963249e-03  4.0654e-04  1.00000000
 35: 5.60685696537857e-06  8.3441e-06  9.48816782760128e-03  4.4031e-04  1.00000000
 36: 3.25472378750676e-06  4.8436e-06  4.65418323894116e-03  2.1599e-04  1.00000000
 37: 1.92394695814896e-06  2.8632e-06  4.94145697099477e-03  2.2932e-04  1.00000000
 38: 4.20168489862528e-07  6.2529e-07  7.22063242682195e-03  3.3509e-04  1.00000000
 39: 1.51077580210301e-07  2.2483e-07  1.17518375193630e-03  5.4536e-05  1.00000000
 40: 1.28900873500415e-07  1.9183e-07  7.66309894956299e-04  3.5562e-05  1.00000000
 41: 1.03633628306204e-07  1.5423e-07  6.81758105732813e-04  3.1638e-05  1.00000000
 42: 4.01874814485516e-08  5.9806e-08  5.81390251937270e-04  2.6980e-05  1.00000000
 43: 2.29716174448893e-08  3.4186e-08  2.47072008196793e-04  1.1466e-05  1.00000000
 44: 1.90242602816226e-08  2.8312e-08  2.37751727631828e-04  1.1033e-05  1.00000000
 45: 1.56924210005932e-08  2.3353e-08  2.52463294420306e-04  1.1716e-05  1.00000000
 46: 7.56807233588866e-09  1.1263e-08  4.61666322430376e-04  2.1424e-05  1.00000000
 47: 3.44870517297949e-09  5.1323e-09  1.56065126326170e-04  7.2425e-06  1.00000000
 48: 1.90529692870171e-09  2.8354e-09  1.29153588636796e-04  5.9936e-06  1.00000000
 49: 7.83712727778834e-10  1.1663e-09  9.18805292340164e-05  4.2639e-06  1.00000000
 50: 8.23279613313351e-11  1.2252e-10  3.66436051605210e-05  1.7005e-06  1.00000000
 51: 4.90045365054998e-11  7.2928e-11  4.22314217539623e-05  1.9598e-06  1.00000000
 52: 3.30621756569387e-11  4.9203e-11  2.27006688462008e-05  1.0535e-06  1.00000000
 53: 2.94049482938140e-11  4.3760e-11  1.28153039288819e-05  5.9472e-07  1.00000000
