#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
  0: 6.71958589545392e-01  1.0000e+00  2.15485896050517e+01  1.0000e+00  -1.00000000
  1: 4.35365088262291e-01  6.4790e-01  1.14389623221251e+01  5.3085e-01  0.00156250
  2: 3.89017756898421e-01  5.7893e-01  7.89611303458271e+00  3.6643e-01  0.00156250
  3: 3.55440238705247e-01  5.2896e-01  5.15473885887027e+00  2.3921e-01  0.00156250
  4: 3.38600514387814e-01  5.0390e-01  3.71085898961762e+00  1.7221e-01  0.00156250
  5: 3.36125117759357e-01  5.0022e-01  6.60709016847368e+00  3.0661e-01  0.00312500
  6: 3.20289874723346e-01  4.7665e-01  4.36584394032697e+00  2.0260e-01  0.00156250
  7: 3.10431886296983e-01  4.6198e-01  2.85381321490262e+00  1.3244e-01  0.00156250
  8: 3.05043745532725e-01  4.5396e-01  2.06819395212986e+00  9.5978e-02  0.00156250
  9: 3.02932934678442e-01  4.5082e-01  3.52613716207109e+00  1.6364e-01  0.00312500
 10: 2.97381864996360e-01  4.4256e-01  2.35424946001750e+00  1.0925e-01  0.00156250
 11: 2.93837682632202e-01  4.3729e-01  1.66145809583401e+00  7.7103e-02  0.00156250
 12: 2.92579194775915e-01  4.3541e-01  2.81262568460211e+00  1.3052e-01  0.00312500
 13: 2.88598395539792e-01  4.2949e-01  1.84325880238982e+00  8.5540e-02  0.00156250
 14: 2.86273536945544e-01  4.2603e-01  1.35908260445570e+00  6.3071e-02  0.00156250
 15: 2.84879998494893e-01  4.2395e-01  2.26096395998129e+00  1.0492e-01  0.00312500
 16: 2.82247020611393e-01  4.2004e-01  1.54718115978451e+00  7.1800e-02  0.00156250
 17: 2.80440768285817e-01  4.1735e-01  1.16213384699517e+00  5.3931e-02  0.00156250
 18: 2.78981604668560e-01  4.1518e-01  1.82032308742888e+00  8.4475e-02  0.00312500
 19: 2.76991000151214e-01  4.1221e-01  1.26878820293716e+00  5.8880e-02  0.00156250
 20: 2.76457653829976e-01  4.1142e-01  2.20846725754730e+00  1.0249e-01  0.00312500
 21: 2.74030837449289e-01  4.0781e-01  1.44866141604833e+00  6.7228e-02  0.00156250
 22: 2.72583702150699e-01  4.0566e-01  1.07290024024189e+00  4.9790e-02  0.00156250
 23: 2.71632482799020e-01  4.0424e-01  1.77537571448476e+00  8.2389e-02  0.00312500
 24: 2.69935558766091e-01  4.0171e-01  1.22662817413767e+00  5.6924e-02  0.00156250
 25: 2.69889016039082e-01  4.0165e-01  2.25865940348000e+00  1.0482e-01  0.00312500
 26: 2.67669267338669e-01  3.9834e-01  1.48214360003374e+00  6.8781e-02  0.00156250
 27: 2.66295774224574e-01  3.9630e-01  1.05017649023770e+00  4.8735e-02  0.00156250
 28: 2.65749109114485e-01  3.9548e-01  1.79833483750909e+00  8.3455e-02  0.00312500
 29: 2.64070172593171e-01  3.9299e-01  1.19964853423228e+00  5.5672e-02  0.00156250
 30: 2.63010739182884e-01  3.9141e-01  9.07791738355138e-01  4.2128e-02  0.00156250
 31: 2.62143975753709e-01  3.9012e-01  1.45582783682182e+00  6.7560e-02  0.00312500
 32: 2.60909986359980e-01  3.8828e-01  1.02738891719678e+00  4.7678e-02  0.00156250
 33: 2.60594941796779e-01  3.8781e-01  1.83125169705041e+00  8.4982e-02  0.00312500
 34: 2.59018311359754e-01  3.8547e-01  1.22187208061777e+00  5.6703e-02  0.00156250
 35: 2.57993699117578e-01  3.8394e-01  8.94917739870724e-01  4.1530e-02  0.00156250
 36: 2.57335129873928e-01  3.8296e-01  1.47120151087108e+00  6.8274e-02  0.00312500
 37: 2.56111176871288e-01  3.8114e-01  1.01085827107776e+00  4.6911e-02  0.00156250
 38: 2.55947166790580e-01  3.8090e-01  1.80704345320981e+00  8.3859e-02  0.00312500
 39: 2.54375296812761e-01  3.7856e-01  1.17879194194045e+00  5.4704e-02  0.00156250
 40: 2.53445965035794e-01  3.7717e-01  8.66610550425726e-01  4.0217e-02  0.00156250
 41: 2.52877753349909e-01  3.7633e-01  1.45397712603844e+00  6.7474e-02  0.00312500
 42: 2.51745109420299e-01  3.7464e-01  1.00283995409113e+00  4.6539e-02  0.00156250
 43: 2.51714863859007e-01  3.7460e-01  1.84806746966460e+00  8.5763e-02  0.00312500
 44: 2.50207377950632e-01  3.7236e-01  1.21394203245009e+00  5.6335e-02  0.00156250
 45: 2.49271151125486e-01  3.7096e-01  8.67607502482961e-01  4.0263e-02  0.00156250
 46: 2.48841370342773e-01  3.7032e-01  1.47728709098362e+00  6.8556e-02  0.00312500
 47: 2.47684012344272e-01  3.6860e-01  9.95485296227338e-01  4.6197e-02  0.00156250
 48: 2.46929427584818e-01  3.6748e-01  7.62627247433550e-01  3.5391e-02  0.00156250
 49: 2.46247360191992e-01  3.6646e-01  1.20343953883025e+00  5.5848e-02  0.00312500
 50: 2.45364139649425e-01  3.6515e-01  8.60895353409086e-01  3.9951e-02  0.00156250
 51: 2.45022875196875e-01  3.6464e-01  1.50421838417890e+00  6.9806e-02  0.00312500
 52: 2.43903416658165e-01  3.6297e-01  1.01575213717147e+00  4.7138e-02  0.00156250
 53: 2.43152595110601e-01  3.6186e-01  7.60576547186345e-01  3.5296e-02  0.00156250
 54: 2.42559507604109e-01  3.6097e-01  1.21818585396897e+00  5.6532e-02  0.00312500
 55: 2.41669922068509e-01  3.5965e-01  8.54903820613369e-01  3.9673e-02  0.00156250
 56: 2.41395424148826e-01  3.5924e-01  1.49291546249040e+00  6.9281e-02  0.00312500
 57: 2.40268386328829e-01  3.5756e-01  9.91764102274563e-01  4.6025e-02  0.00156250
 58: 2.39561353369551e-01  3.5651e-01  7.46133362329416e-01  3.4626e-02  0.00156250
 59: 2.39007874817670e-01  3.5569e-01  1.21079415474162e+00  5.6189e-02  0.00312500
 60: 2.38161095241239e-01  3.5443e-01  8.52742605260780e-01  3.9573e-02  0.00156250
 61: 2.37955308745174e-01  3.5412e-01  1.52426011287267e+00  7.0736e-02  0.00312500
 62: 2.36856503836438e-01  3.5249e-01  1.01741560797123e+00  4.7215e-02  0.00156250
 63: 2.36141714268397e-01  3.5142e-01  7.48841661736235e-01  3.4751e-02  0.00156250
 64: 2.35661603099456e-01  3.5071e-01  1.22949368776724e+00  5.7057e-02  0.00312500
 65: 2.34797444159364e-01  3.4942e-01  8.50211003971067e-01  3.9456e-02  0.00156250
 66: 2.34644016799928e-01  3.4919e-01  1.51470565984757e+00  7.0293e-02  0.00312500
 67: 2.33527441799739e-01  3.4753e-01  9.94858002260902e-01  4.6168e-02  0.00156250
 68: 2.32850572947665e-01  3.4653e-01  7.36992161027032e-01  3.4201e-02  0.00156250
