#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
  0: 6.71958589545392e-01  1.0000e+00  2.15485896050517e+01  1.0000e+00  -1.00000000
  1: 4.35365088262291e-01  6.4790e-01  1.14389623221251e+01  5.3085e-01  0.00156250
  2: 4.24038910100496e-01  6.3105e-01  1.02897190608713e+01  4.7751e-01  0.10000000
  3: 4.14055163209049e-01  6.1619e-01  9.33586729658358e+00  4.3325e-01  0.10000000
  4: 4.03241259342491e-01  6.0010e-01  8.36643887958990e+00  3.8826e-01  0.10000000
  5: 3.91983931794239e-01  5.8335e-01  7.41747007919256e+00  3.4422e-01  0.10000000
  6: 3.80630565380085e-01  5.6645e-01  6.51728780421147e+00  3.0245e-01  0.10000000
  7: 3.69494636973520e-01  5.4988e-01  5.68728540976274e+00  2.6393e-01  0.10000000
  8: 3.58837179350239e-01  5.3402e-01  4.94095214778180e+00  2.2929e-01  0.10000000
  9: 3.48846997172217e-01  5.1915e-01  4.28343306231139e+00  1.9878e-01  0.10000000
 10: 3.39625998827199e-01  5.0543e-01  3.71206843157788e+00  1.7227e-01  0.10000000
 11: 3.31187099233603e-01  4.9287e-01  3.21813248955520e+00  1.4934e-01  0.10000000
 12: 3.23470013686087e-01  4.8138e-01  2.78965195681849e+00  1.2946e-01  0.10000000
 13: 3.16373374953121e-01  4.7082e-01  2.41475228374402e+00  1.1206e-01  0.10000000
 14: 3.09790747613701e-01  4.6103e-01  2.08444915032136e+00  9.6733e-02  0.10000000
 15: 3.03632870140041e-01  4.5186e-01  1.79376631706925e+00  8.3243e-02  0.10000000
 16: 2.97829307979152e-01  4.4323e-01  1.54113920750418e+00  7.1519e-02  0.10000000
 17: 2.92318699209451e-01  4.3502e-01  1.32716218295656e+00  6.1589e-02  0.10000000
 18: 2.87039257977307e-01  4.2717e-01  1.15354476929244e+00  5.3532e-02  0.10000000
 19: 2.81923781037639e-01  4.1956e-01  1.02228790191584e+00  4.7441e-02  0.10000000
 20: 2.76898247396136e-01  4.1208e-01  9.34637091164162e-01  4.3373e-02  0.10000000
 21: 2.71882213304426e-01  4.0461e-01  8.89665677969203e-01  4.1286e-02  0.10000000
 22: 2.66789670014384e-01  3.9703e-01  8.83226826461103e-01  4.0988e-02  0.10000000
 23: 2.61529358609687e-01  3.8920e-01  9.08343350938231e-01  4.2153e-02  0.10000000
 24: 2.56003769748212e-01  3.8098e-01  9.56904170323371e-01  4.4407e-02  0.10000000
 25: 2.50106624774018e-01  3.7221e-01  1.02136742355469e+00  4.7398e-02  0.10000000
 26: 2.43719557233009e-01  3.6270e-01  1.09560917650342e+00  5.0844e-02  0.10000000
 27: 2.36709381670086e-01  3.5227e-01  1.17499618106020e+00  5.4528e-02  0.10000000
 28: 2.28927148250841e-01  3.4069e-01  1.25605483363915e+00  5.8289e-02  0.10000000
 29: 2.20209279104976e-01  3.2771e-01  1.33595818034503e+00  6.1997e-02  0.10000000
 30: 2.10379942913403e-01  3.1308e-01  1.41195922381432e+00  6.5524e-02  0.10000000
 31: 1.99252584279264e-01  2.9653e-01  1.48090563501477e+00  6.8724e-02  0.10000000
 32: 1.86627319110690e-01  2.7774e-01  1.53914863764839e+00  7.1427e-02  0.10000000
 33: 1.72283080510155e-01  2.5639e-01  1.58067422190848e+00  7.3354e-02  0.10000000
 34: 1.55962401003691e-01  2.3210e-01  1.62069143566497e+00  7.5211e-02  0.10000000
 35: 1.37838373805922e-01  2.0513e-01  1.27513886323253e+00  5.9175e-02  0.10000000
 36: 1.24528878723058e-01  1.8532e-01  1.29167443435191e+00  5.9942e-02  0.10000000
 37: 1.08638106295376e-01  1.6167e-01  1.25050998182761e+00  5.8032e-02  0.10000000
 38: 9.44446808337902e-02  1.4055e-01  1.21385582781693e+00  5.6331e-02  0.10000000
 39: 8.11624601859124e-02  1.2078e-01  1.16252413775688e+00  5.3949e-02  0.10000000
 40: 6.94228171808988e-02  1.0331e-01  1.08776594885619e+00  5.0480e-02  0.10000000
 41: 5.88641900626975e-02  8.7601e-02  1.04369479138270e+00  4.8434e-02  0.10000000
 42: 4.95440166273620e-02  7.3731e-02  9.50616978166643e-01  4.4115e-02  0.10000000
 43: 4.15177546083995e-02  6.1786e-02  8.89124066705104e-01  4.1261e-02  0.10000000
 44: 3.46076661164962e-02  5.1503e-02  7.99024192294331e-01  3.7080e-02  0.10000000
 45: 2.87376126476056e-02  4.2767e-02  7.34119341793598e-01  3.4068e-02  0.10000000
 46: 2.37986602630745e-02  3.5417e-02  6.60473923792430e-01  3.0650e-02  0.10000000
 47: 1.96341481747965e-02  2.9219e-02  6.02060648737766e-01  2.7940e-02  0.10000000
 48: 1.61634291184270e-02  2.4054e-02  5.41048279501321e-01  2.5108e-02  0.10000000
 49: 1.32707500189787e-02  1.9749e-02  4.88470463387455e-01  2.2668e-02  0.10000000
 50: 1.08745973008398e-02  1.6183e-02  4.42258873288687e-01  2.0524e-02  0.10000000
 51: 8.86122347938164e-03  1.3187e-02  3.87056481858757e-01  1.7962e-02  0.10000000
 52: 7.16730427216677e-03  1.0666e-02  3.57487640173944e-01  1.6590e-02  0.10000000
 53: 5.72565995315574e-03  8.5209e-03  2.98793930683992e-01  1.3866e-02  0.10000000
 54: 4.71974070241102e-03  7.0239e-03  2.68320255113136e-01  1.2452e-02  0.10000000
 55: 3.85623700778838e-03  5.7388e-03  2.42664254030094e-01  1.1261e-02  0.10000000
 56: 3.14513759586907e-03  4.6806e-03  2.19373723099976e-01  1.0180e-02  0.10000000
 57: 2.54309663395626e-03  3.7846e-03  1.97754956336288e-01  9.1772e-03  0.10000000
 58: 2.05343571961057e-03  3.0559e-03  1.74623141227452e-01  8.1037e-03  0.10000000
 59: 1.66243375193379e-03  2.4740e-03  1.58323667086704e-01  7.3473e-03  0.10000000
 60: 1.34648310781825e-03  2.0038e-03  1.38613049938320e-01  6.4326e-03  0.10000000
 61: 1.09446187483424e-03  1.6288e-03  1.25092425059110e-01  5.8051e-03  0.10000000
 62: 8.90933533508701e-04  1.3259e-03  1.10498523448890e-01  5.1279e-03  0.10000000
 63: 7.27575519862406e-04  1.0828e-03  9.84808764901608e-02  4.5702e-03  0.10000000
 64: 5.95930749403359e-04  8.8686e-04  8.83652658512199e-02  4.1007e-03  0.10000000
 65: 4.89295531639583e-04  7.2816e-04  7.76835450711599e-02  3.6050e-03  0.10000000
 66: 4.03474120489497e-04  6.0044e-04  6.99649273258302e-02  3.2468e-03  0.10000000
 67: 3.33710977272030e-04  4.9662e-04  6.09263660425973e-02  2.8274e-03  0.10000000
 68: 2.77345304010883e-04  4.1274e-04  5.45109670497751e-02  2.5297e-03  0.10000000
